,full_text,sentiment
419,Masih membayangkan seandainya semua kereta di jabodetabek itu level nya kyk MRT dr sisi fasilitas nya (keretanya jelas beda lah ya) pasti makin banyak yg mau pakai transportasi ini. Bukan hanya karena terpaksa.,positif
420,uda lama ga pp mrt pulang-pulang langsung tidur. soalnya kalo naik mrt jalannya mayan,netral
421,Tebak lokasi mrt,netral
422,jadi inget kemarin iky ketemu pak anies di MRT pas mau nonton Coldplay wkwk,netral
423,sepi bgt berasa naik mrt pribadi,netral
424,Hari ini saya meninjau langsung progres pembangunan Moda Raya Terpadu (MRT) Jakarta fase 2A di Stasiun MRT Monas Jakarta. Alhamdulillah pembangunan MRT fase 2A dari Bundaran HI menuju ke Kota berjalan dengan baik dan melampaui target yang dicanangkan. Fase ini ditargetkan dapat,positif
425,Mau jalan ke Sudirman Naik MRT aja biar mahir Tak terasa juga ya teman-teman Tahun 2023 akan segera berakhir ️ Selama satu tahun terakhir FDTJ - Transport for Jakarta terus berkolaborasi dan mengadvokasikan sistem transportasi urban yang lebih baik di Jakarta.,positif
426,Panggung tahun baruan udah didirikan guys!! Ini yg depan Orient Sudirman. Ada lagi tadi depan Pasific Place yang pintu MRT Istora Mandiri,netral
427,Meninjau pembangunan Moda Raya Terpadu (MRT) Jakarta fase 2A hari ini saya turun ke bawah tanah dan berjalan ke tengah terowongan di Stasiun MRT Monas Jakarta. Proyek MRT bukan pekerjaan mudah karena harus dikerjakan di tengah keramaian Jakarta. Pembangunan MRT fase 2A dari,netral
428, MRT Jujur model parkiran yg sekarang itu rasanya gimana. Dikit dan makan tempat dan terlalu gimana gitu areanya. Kena panas hujan juga.,negatif
429,Ada alasannya kenapa stasiun MRT pintunya banyak pak bu,netral
430,Alhamdulillah terlaksana Liburan dalam kota naek Moda LRT n MRT Mantab integrasi transportasinya thanks pak Güb Indonesia LBWK ikutan tuh,positif
431,Operasional KRL MRT dan LRT Jakarta akan diperpanjang sampai pukul 02.00 WIB pada saat perayaan Tahun Baru 2024. LRT Jakarta berbeda dengan LRT Jabodebek. Rute LRT Jakarta mencakup 6 stasiun: Pegangsaan Dua Boulevard Utara Boulevard Selatan Pulomas Equestrian dan Velodrome,netral
432,Sehari tiga transportasi Mrt transjkt krl Misi mas² kabupaten untuk menjajal transportasi umum telah usai,netral
433,Tangga keluar/masuk MRT sama KRL kadang kek mau ke tuhan terjal banget,negatif
434,MRT Jakarta beroperasi hingga pukul 02.00 WIB saat malam Tahun Baru 2024 untuk mempermudah mobilitas masyarakat yang ingin menyemarakkan pergantian tahun di DKI Jakarta.,positif
435,Oke jadi kapan Bali punya MRT?,netral
436,PT MRT Jakarta (Perseroda) akan memperpanjang jam layanan operasional saat malam pergantian tahun 2024 hingga pukul 02.00 WIB,netral
437,Masih di jalan pulang tp udah ngantuk berat. khawatir naik MRT bablas/kelewatan sampe ujung,negatif
438,Malam Tahun Baru MRT Jakarta Cuma Sampai 02.00! Cek Jadwalnya,netral
439,Jam Operasional KRL MRT dan LRT saat Tahun Baru,netral
440,Jadwal Operasional MRT pada Malam Tahun Baru 2024 Beserta Kereta Terakhirnya,netral
441,Keliling Jakarta Malam Tahun Baru 2024 Cek Jadwal KRL MRT LRT Jakarta,netral
442,Adakah disini yg kerja di MRT atau TJ tapi bagian finance nya? Lamarnya lewat mana yaa?,netral
443,Guys yang kerja biasa naik MRT Lebak Bulus/Fatmawati tapi bawa motor dari rumah biasanya parkirnya dimana sih? Bingung banget dah,netral
444,dari mrt bendungan hilir buat titik jemput gocar yg deket dimana ya bingung ada yg pernah??,netral
445,Pengen punya temen balik mrt rute ujung ke ujung buat ngobrol atau sekedar presence aja wrk!,netral
446,aku tadi dapat panggilan kerja dan alhamdulillah lolos ke tahap psikotes dan interview habis ttd kontrak di indomaret udah baca rules juga kalian yg pernah kerja di indomaret kalau sudah ke tahap ttd kontrak baca rules nya udah pasti dipanggil untuk (cont..),netral
447,Kira-kira kalo gw jalan-jalan naik MRT pake kaos sablonan QRIS rekening pribadi seberapa besar kemungkinan gw dapet donasi....,netral
448,Hari ini naik semua transportasi di jkt perkara lupa bawa emoney. Grab gojek krl mrt busway Untung bisa scan by aplikasi semua capeeekkk polllll,negatif
449,gua penasaran kalo krl/mrt/lrt udah ada di stasiun akhir itu balik lg ny gmn apakh jalan balik lg? atau di depan ujung sana ada jalan puter balik?,netral
450,MRT memperpanjang jam operasional pada saat perayaan malam tahun baru 31 Desember 2023 hingga pukul 02.00 WIB.,netral
451,Ochi mau beli tiket mrt tapi bingung terus dibantuin sama french haraboji huhu,netral
452,Jadwal Operasional KRL MRT LRT dan TransJ saat Malam Tahun Baru 2024 Berikut informasi jam operasional KRL MRT LRT Jakarta-Jabodebek dan TransJakarta saat malam tahun baru 2024. &gt;&gt;,netral
453,Mau coffee shop deket mrt arah jaksel yang enak buat duduk bengong + baca buku dongs,netral
454,Dengan JakLingko hanya dengan satu kartu warga Jakarta bisa menggunakan seluruh moda transportasi di Jakarta mulai dari TransJakarta MiniTrans MikroTrans MRT LRT hingga KRL Commuter Line.,positif
455,Hai Kak. Mohon maaf atas ketidaknyamanannya. Untuk saat ini MRT Jakarta tidak bisa tap in dan tap out di stasiun yang sama. Kami sarankan untuk tap in dan tap out di stasiun yang berbeda. Terima kasih. -ZA,netral
456,Ojol dan MRT menjaga kewarasan gw hidup di Jakarta.,positif
457,Kak  baru banget ketemu dan kenalan hari ini di MRT. Nontonin birthday ads ayang taehyung,positif
458,Transjakarta udah baik banget dan cuma 3500. Makin hari makin males bawa mobil jadinya.,positif
459,twitter please do your magic buat siapapun yang lihat atau nemuin dompet ini di bus transjakarta terutama yang naik 7ST atau 4 tolong dm aku yaaa,netral
460,UNIT PATROLI POLSEK CILEDUG Melakukan Kegiatan Rutin Yang Ditingkatkan (KRYD) Untuk Mengantisipasi Kejahatan Pada Malam Hari Di Halte Transjakarta Puribeta 2 (Minggu 29/1/2023),netral
461,di tosari yg nunggu 9D udah sebanyak ini tapi kedatangan busnya tidak pernah jelas,negatif
462,Cukup di luar saja . . Transjakarta Perum PPD PPD-0368 9D| PASAR MINGGU - TANAH ABANG Hino RK8JSKA-NHJ R260 Discovery Laksana Caroserrie Pasar Minggu,netral
463,Min  mohon ditindak dong min estimasi kedatanganya 5 menit tapi udah nunggu hampir setengah jam lebih malah gak dateng². Yg dateng duluan malah dari arah penas ke matraman.,negatif
464,Mumpung masih bisa bersama manfaatkan waktu sebaik mungkin untuk bersama . . Transjakarta Perum PPD - PT Bianglala Metropolitan BMP-212A 8 | HARMONI - LEBAK BULUS Hino RK8JSKA-NHJ R260 Ultima Tri Sakti Caroserrie Harmoni Central Busway,netral
465,Semua bisa berubah seiring berjalannya waktu . . Transjakarta PT Mayasari Bakti MYS-22338 1N| BLOK M - TANAH ABANG BYD B12 Electric Bus Transjabodetabek Reguler PT Mayasari Bakti B1174 AC70A| TANAH ABANG - CILEUNGSI Hino AK8 A215 Nucleus Laksana Caroserrie,netral
466,Twitter Please do Your Magic! Halo mohon bantuannya kalo kalian menemukan HP dengan case gini boleh dm aku. Terakhir lokasinya terdeteksi di Tegal Parang kebetulan td pagi aku naik TJ P.Ranti-Bunsen. Please banget banyak foto berharga sama keluarga. Thankyou,netral
467,Ges transjakarta nambah koridor apa gimana kok buka loker sampe buat 200 org?,netral
468,halo min  kalo naik tj pake kartu ragunan jakcard ini bisa ga ya?,netral
469,Work! Ini pertama kali aku baik Transjakarta sendiri. Tolong infonya temen-temen semoga disini ada yang tau aku harus naik rute apa aja terimakasih banyak semua ‍️semoga lancar selalu segalanya urusan,netral
470,Selamat sore min  mohon perbanyak kapasitas rute arah stasiun Manggarai agar gak menumpuk penumpang kasian kalo menumpuk sampai gak muat antri. Udah 40 menit belum datang-datang,negatif
471,((50.000 km BRT Transjakarta)) gua lagi ngebayangin ke jogja naik Tj dengan harga 3.5rb,positif
472,Layar Informasi Halte Selanjutnya di dalam  TJ-321 rusak. Mohon diperbaiki.,negatif
473,juni - desember 2022 rasanya kayak MRT terus januari 2023 kayak transjakarta non-BRT pas rush hour,netral
474,Tolong donk dibikin pengawasan area bus transjakarta untuk mobil dan motor jangan masuk ke kawasan transjakarta karna bikin mancet dan lama,negatif
475,Simulasi skala pembangunan transportasi publik dengan anggaran 500 triliun rupiah: 490 km MRT Jakarta (Fase I) 500 km LRT Jakarta 742 km LRT Jabodebek 1.034 km LRT Palembang 50.000 km BRT Transjakarta Sumber: Putra 2021,netral
476,Rejeki paling besar tapi sederhana pengguna transjakarta adalah dapat tempat duduk,positif
477,Tj summarecon bekasi sekarang tujuannya ke mana min?,netral
478,Kalo ngerasa hidup lu gak berguna ada mba mba transjakarta yang lebih gak guna.,netral
479,Transjakarta PP 7000 x 22 hari kerja 154K Angkot Jaklingko PP Gratis Budget ongkos per bulan gue genapin jadi 200K buat jaga2 kalo mau ke mana pas wiken atau main abis pulang kantor (selalu pilih seputaran jalur Transjakarta).,netral
480,Halo kak  ini bis koridor 1 kota blok m kota bunsen olimo blok m pada kemana ya? Penumpukan penumpang di HCB arah blom m nih. Helep dong,netral
481,min mau tanya busway 4d arah patra Kuningan apakah masih beroperasi?,netral
482,Halo min  kalo mau ke Pos Bloc dari halte PGC hari sabtu naik apa aja ya?,netral
483,Min  tlng dong untuk rute 1 M kalau setelah jam 6 sore jarak antar bus terlalu lama 30 menit lebih padahal lalu lintas lancar apa terlalu lama ngopi dan ngobrol di taman Aries? kopaja dan metro mini dihapus transportasi hanya busway tapi rasanya sulit sekali.tq,netral
484,Misi min  kalau mau ke gama tower dari stasiun manggarai itu naik TJ nya jurusan apa ya ?,netral
485,pagii kalo dr sudirman mau ke cibubur itu naik jurusan apa transit dmn yaa ?,netral
486,halo mau tanya kalau ke jiexpo kemayoran dari lebakbulus naik jalur apa yah? thanks,netral
487,Tolong unit mikrotrans 22008 Jak 10A jangan masuk jalur sepeda dan tolong berhenti di halte bus stop puskesmas Cikini.. trimakasih,negatif
488,Siapa sih yg ngatur jadwal 9D? traffic managementnya gak profesional tiap hari kaya gini waktu tunggu lebh dari 30 menit belum datang jg,negatif
489,Pagi min apakah halte busway kampung melayu beroperasi rute kp melayu- pulo gebang?mohon info  karena kp melayu sedang renovasi bukan jd naik tj ny dari mana ya min?,netral
490,Hi  mau informasikan kalau di rute mulai dr smk 57 banyak kendaraan pribadi yang masuk jalur TJ. Mohon bantuannya untuk menertibkan ya jadi macett bgt jalurnya,negatif
491,halo  untuk arah Bundaran Senayan ke Cinere bisa naik dari halte mana ya? dekat gedung apa ya haltenya? terima kasih,netral
492,Selamat malam min  maaf mau bertanya. Kenapa skrg ini daerah koridor 6 TJ nya jarang banget ya kalau menjelang jam 10 malam? Dari semua rute yg beroperasi bisnya datang 4 menit sekali. Misal 6H 4 mnt kmdian 6 4 mnt lg 7B. Minta tolong headwaynya dikondisikan ya.,negatif
493,TransJakarta berangkat : 2.000 TransJakarta pulang : 3.500 Sehari : 5.500 Sebulan 22 hari kerja Berarti ongkos sebulan ogut adalah.......... Yak.. 110.000 Seratus sepuluh ribu rupiah,netral
494,Kalo kerja di jkt kan sering bgt macet ya.. lebih worth bawa motor ke kantor atau naik transportasi umum? (Kyk mrt/Transjakarta),netral
495,Admin  tolong dong ya di daerah PIK elang laut tuh dikasih bus stop yg banyak! Kasian soalnya penumpang gada yg angkut sama supir jaklingko Kalideres muara Angke.,negatif
496,Tapi emang nyaman sih pakai kendaraan pribadi. Apalagi sekarang hampir semua matic. Gak kehujanan atau kepanasan gak susah cari taksi kalau ujan. Gak perlu naik turun kendaraan umum berkali-kali atau mepet-mepetan KRL/TransJakarta. Pinggang gak sakit berdiri lama. Gak bau ketek.,negatif
497,Ojek online = 30rb (3x dari/ke halte) Busway = 7rb (PP) MRT = 3rb (1x buat ke halte bus) Full WFO (22 hari) = 22 x 40rb = 880rb Walaupun mahal tetapi good for long term mental health dibandingkan pure naik feeder transjakarta,negatif
498,Jpo transjakarta semanggi-benhil,netral
499,- Merasakan transportasi publik seperti mikrolet kopaja Transjakarta MRT &amp; KRL beserta drama2nya. - Jarak terasa jauh banget bagi anak kota kecil/kabupaten kayak gue sampe sekarang. - Sebagian orang JakUt &amp; sekitaran Kota galak+keras ikh &amp; rawan kriminalitas juga takut~,negatif
500,Selalu sabar nunggu 9E yg mostly dtg nya di atas 30mnt.  ,negatif
501,min  mau berkeluh kesah dong td sepanjang jalan di tj aku digigitin byk nyamuk :( jd ga nyaman sekalii. btw tadi aku naik tj kecil 8k makasih min,negatif
502,halo min busway b11 summarecon bekasi ada jadwal dari jam 11 - 12 lewat rs mitra keluarga gak ya?,netral
503,Halo min mau nanya kalo dari kampung rambutan ke kota naik busway koridor mana ya?  thank you,netral
504,TJ rute 2A kalau dari indosiar lewatnya berapa menit sekali sih??kalo siang kayanya jarang bgt lewat,negatif
505,Kalian yang kerja di jkt mending kena macet jalan di motor atau desak-desakan di Transjakarta?,netral
506,Halo aku lagi dinas di jkt dan lokasi mess ke kantor cukup jauh. Kalian yang kerja di jkt MRT dan Transjakarta kalo pagi jam 7an gitu rame bgt kah? macet jg ya?,netral
507,Halo  kalau saldo sewaktu tap in 6.500 dan berhasil tap in tapi sewaktu tap out malah tulisan saldo kurang kenapa ya? Bukannya kalau emang saldo kurang dari awal tap in sudah gak bisa?,netral
508,Halo min  rute dr halte penjaringan ke halte kpp pratama cilandak gimana?,netral
509,respek dan salut utk teman-teman pekerja yg turun dr KRL masih harus lanjut lagi dg Transjakarta. Effort besar kita keluarkan utk sampai ke tempat kerja semoga kita sehat selalu. Ingat keluarga nomor 1.,positif
510,Apresiasi banget buat pengemudi Jak 18 BDL 501 yang ngasih info transit jika pulang bus stopnya ada transitnya,positif
511,Baru kemaren mikirin kenapa akun sosmed Transjakarta nyebutnya TiJe. Kalo mau pake Ti harusnya TiJi. Kalo mau pake Je harusnya TeJe.,netral
512,Min  ini yakin gak mau dikasih armada kosong untuk ngangkut penumpang di halte flyover Jatinegara arah Tj Priok?,netral
513,Penantian lama sudah berakhir nih! Halte Cawang Cikoko sudah beroperasi! Halte Transjakarta Cawang Cikoko ini juga terintegrasi dengan stasiun KRL Commuter Line dan LRT Jabodebek loh Sahabat TiJe.,positif
514,Saksikan Seputar iNews Pagi Terobos Jalur TransJakarta Kendaraan Jalan Mundur Senin 28 Februari 2023 hanya di RCTI.,netral
515,Pulang ke rumah : Naik TransJakarta Naik ojek online Naik Kora-Kora,netral
516,Transjakarta tambah layanan bus pink mulai hari ini. Total ada 20 tambahan bus pink di 7 rute sprt Koridor 2 (Pulogadung-Harmoni) Koridor 3 (Kalideres-Pasar Baru) Koridor 9 (Pinang ranti-Pluit) Koridor 13 (Ciledug-Tendean) dan PGC-Harmoni (5C).,netral
517,Min tolong dikaji lagi dongg krn B11 ga lewat pancoran Tugu akhirnya malah penuh di Tebet BUMD. ngalangin yg mau naik jurusan lain. Even foto ini pun gak mencerminkan betapa ramenya itu halte,negatif
518,Mulai senin (27/2/2023) PT Transportasi Jakarta (Transjakarta) menambah armada bus pink khusus penumpang perempuan di lima koridor di Jakarta.,netral
519,PT Transportasi Jakarta (Transjakarta) menambah operasional 20 armada bus pink yang khusus diperuntukkan bagi pelanggan perempuan.,netral
520,detikers TransJakarta akan akan menambah armada bus khusus wanita atau Bus Pink nih! Hal itu untuk mencegah pelecehan seksual. Kepala Divisi Sekretaris Perusahaan TransJakarta mengatakan penambahan armada Bus Pink akan dilakukan secara bertahap.,positif
521,Mantab jiwa halte  Adam Malik.. selamat hari senin gaes,positif
522,Peta Jalur Rute Transjakarta Semua Koridor Lengkap -,netral
523,Selamat pagi  di Halte Busway Kuningan Barat sangat diperlukan tempat duduk agar penumpang lansia ibu hamil dan ibu yg membawa bayi dpt menunggu bus dengan nyaman. Terima kasih.,positif
524,Kepala Divisi Sekretaris Perusahaan Transjakarta Apriastini Bakti Bugiansri mengatakan jumlah armada bus pink ditambah untuk memberikan keamanan dan kenyamanan bagi penumpang perempuan.,positif
525,Koridor 1 dari Bunsen - Blok M jadi neraka banget sekarang Ga dapet priority traffic light gini di Bundaran Senayan Al Azhar sama CSW jadi numpuk terus Mana jalur dibawah Stasiun ASEAN - Blok M dibongkar. Balikin lagi tolong jalur khususnya,negatif
526,Seorang pria melakukan pelecehan kepada penumpang wanita berinisial H di TransJakarta. Pelaku adalah pria berusia 56 tahun bernama Mufarok yang berupaya kabur dengan melompat dari halte TransJ.,negatif
527,Pelecehan Seksual di Bus Transjakarta Kembali Terjadi Korban Anak di Bawah Umur,negatif
528,Transjakarta menambah 20 armada bus pink khusus penumpang perempuan di lima koridor di Jakarta mulai Senin (27/2/2023). Kepala Divisi Sekretaris Perusahaan Transjakarta mengatakan jumlah armada bus pink ditambah untuk memberikan keamanan bagi penumpang perempuan.,positif
529,Halte TJ Pulomas Bypass internetnya lagi nunggak kah min?,netral
530,Untuk mengurai kemacetan di beberapa titik halte TransJakarta non koridor seperti D21 Jalur UI-Lebak Bulus TransJakarta menguji coba perbantuan tapping untuk penumpang.,netral
531,PT TransJakarta memperluas armada bus pink yang dikhususkan untuk pelanggan perempuan yang pergi seorang diri alias tanpa ditemani pasangan. Hal ini dilakukan buntut maraknya pelecehan seksual di dalam transportasi kebanggaan Ibu Kota tersebut.,netral
532,07.26: Kerumunan penumpang Trans Jakarta di halte depan Apartemen Park Royale Jakpus menunggu bis yang belum datang membuat calon penumpang menunggu di Tangga. Mohon perhatian pihak  untuk segera menambah armadanya. P. Jerry,negatif
533,Cegah Pelecehan Seksual di Transportasi Umum TransJakarta Tambah 20 Armada Bus Pink,netral
534,Usai dibuka 17 Februari lalu Halte Transjakarta Cikoko belakangan menjadi viral akibat sempitnya tangga perlintasan dari dan menuju peron yang hanya dapat dilintasi satu arah secara bergantian.,negatif
535,Pengoperasian armada bus pink TransJakarta diperluas. Bus pink ini khusus untuk pelanggan perempuan yang berpergian seorang diri. Perluasan dilakukan untuk meningkatkan kenyamanan dan keamanan pelanggan perempuan.,netral
536,Tolong  pembayaran pembelian tiket online jangan dipersulit dengan 1 metode pembayaran aja. Makin banyak metode pembayaran di hp saya nanti. Minimal qris lah yg dipake semua rakyat indo,negatif
537,Hallo mau tanya TJ jurusan Blok M-UP paling terakhir jam berapa yaa dari Blok M? Makasih,netral
538,Halo  Untuk rute S11 itu naiknya di Terminal BSD deket Pasar Modern kan ya min?,netral
539,Ada yang tau rute TJ (transjakarta) dari Blora ke BSD? Ada apa engga nya kalo ada lebih baik naiknya darimana dulu,netral
540,min 8D sama 9E udah lewat halte ps. kebayoran lama lagi belum bales dong min jgn kacangin aku huhu,netral
541,Selamat siang min  apakah Halte Karet Kuningan 2 masih beroperasi ? Mohon informasinya yaa,netral
542,Selalu suka sama pramudi di Transjakarta yang helpful,positif
543,Tekan Pelecehan Seksual Transjakarta Tambah 20 Bus Khusus Wanita  ,netral
544,halo schedule tj ke smb beroperasi sampai jam brp ya?,netral
545,Pagi ini di halte Transjakarta Adam Malik  tolong tambah Armada L13E ya...thanks,netral
546,Min mau nanya  halte stasiun cawang itu dalemnya nyambung langsung kebawah ke stasiun apa harus keluar lagi baru ke stasiun?,netral
547,Tadi naik  dari JIS ke Harmoni dengan nomer PPD-341 jam 5 sore. Supirnya ramah banget cara mengemudi nya juga bagus nggak ngerem mendadak. Apresiasi buat supirnyaa.. Tolong rekrut pengemudi-pengemudi yang begini jangan rekrut yang ugal-ugalan..,positif
548,Hai min st gambir ke halte bank indonesia arah tosari itu naik busway apa?  trims,netral
549,Halo min untuk rute dari mangga besar ke harmoni bisa ga ya?,netral
550,Ya allah nunggu armada reguler aja suka lama. Ini ide  aneh2 aja nambah bis ini,negatif
551,Min untuk halte harmoni sementara melayani koridor lebak bulus-harmoni ngga ya?,netral
552,Banyangin aja kalau gw misal jadi VP nanti dapet award gara-gara naek kereta sama transjakarta,netral
553,Udah lama banget gak naik krl apalagi bus transjakarta,netral
554,halo  apakah halte TJ manggarai sudah beroperasi?,netral
555,Anjir nunggu Transjakarta satu jam harusnya gue dah sampe nih,negatif
556,Kaka  6A masih tersedia di shelter monas ga ya hari ini?,netral
557,Menghadapi kasus pelecehan seksual yang semakin meningkat di Transjakarta pengamat minta untuk menambahkan bus khusus wanita agar mereka lebih nyaman dan aman,netral
558,busway transjakarta ada single trip gasihh? itu berapa ya?,netral
559,Min  9H arah Blok M kok ga lewat-lewat ya. Saya di halte Brimob. Sudah setengah jam,negatif
560,Halo min mau tanya kalo mau ke halte duri kepa dari BKN . Naik rute apa ya ?,netral
561,Min  kalau mau ke blok m dr smk 57 naik rute mana ya?,netral
562,Sebelumnya Sabtu (25/2) pukul 07.40 WIB Anak perempuan mengalami pelecehan seksual pada oleh pria saat naik TransJakarta. Saat itu penumpang perempuan tersebut sedang duduk sambil tidur terlelap di dalam bus. Pelaku berhasil ditangkap.,negatif
563,Busway Koridor 13 Transjakarta masih saja berlubang. Agar tak lagi berlubang Dinas Bina Marga DKI Jakarta akan memperbaiki permanen sekalian.,netral
564,TransJakarta Perluas Layanan Armada Bus Khusus Perempuan di Lima Koridor,netral
565,PT Transjakarta Tambah Armada Bus Pink Khusus Wanita,netral
566,Koridor 10D  jam segini nunggu 20 menit buat bus dateng. Pas nyampe halte Flyover Raya Bogor kondisi bus penuh. Bertaun-taun gaada perubahan minimal upgrade bus dari 1 pintu ke 2 pintu lah macem 7F yang penumpangnya ga seberapa dibanding 10D,negatif
567,Kampanye Pelecehan Seksual Transjakarta Dinilai Masih Minim,negatif
568,TransJakarta Perluas Layanan Armada Bus Khusus Perempuan di Lima Koridor,netral
569,TransJakarta diusulkan tambah armada khusus wanita,netral
570,Pengguna jalan bahkan menggunakan jalur Transjakarta di kawasan tersebut.,netral
571,Upaya Cegah Pelecehan Seksual Transjakarta Tambah 20 Bus Pink,netral
572,Anak di Bawah Umur Dilecehkan Saat Tidur di Bus Transjakarta,negatif
573,TransJakarta Perluas Layanan Bus khusus Wanita di Lima Koridor. PT Transportasi Jakarta (TransJakarta) memperluas layanan armada bus khusus wanita yang berwarna pink di lima koridor di Ibu Kota.,netral
574,PT Transjakarta siap fasilitasi penumpang melapor ke polisi jika menerima pelecehan.,netral
575,Kabar bagi pengguna TransJakarta! TransJakarta memperluas layanan armada bus khusus wanita yang berwarna pink di lima koridor di Ibu Kota. Di koridor mana saja ya?,netral
576,Hari ini ke kantor naik rute Mikrotrans barunya  rute JAK-48A Karet - Tebet Walaupun sebetulnya koridor ini butuhnya bus gandeng atau tingkat yaa seneng dikit ada opsi transportasi umum yg nyaman dan gratis sekarang Dibelokin ke Epicentrum boleh lah,positif
577,di halte transjakarta mana nih bang @ hoshi,netral
578,miiinnn  ini mas nya bagus banget cara bilang TERIMA KASIIIII~~ nya ; terdengar sangat menyenangkan dan ramah,positif
579,Ada yang menenangkan Ada yang mengenyangkan Ada apa lagi yaaa? Yuk dateng aja besok di deket Halte Transjakarta Masjid Agung,positif
580,Bukber para penumpang Transjakarta,netral
581,Saatnya menjemput impian . . Transjakarta PT Bianglala Metropolitan BMP-220271 8| PASAR BARU - LEBAK BULUS via TOMANG Mercedes Benz OH 1626 A/T Transliner Tri Sakti Caroserrie,netral
582,Dua Lima Puluh Groub . . Transjakarta PT Bianglala Metropolitan BMP-0250 8| LEBAK BULUS - PASAR BARU via TOMANG Mercedes Benz OH 1626 A/T Transliner Tri Sakti Caroserrie Pasar Kebayoran Lama,netral
583,Mohon solusinya   untuk transjakarta kalau macet di satu titik kenapa ga disediain bus pengumpan. Udah penuh manusia ini,negatif
584,DOJAEJUNG GW LG MUAK NUNGGU TRANSJAKARTA GA DATENG DATENG TRS LU PADA LIVE YAALLAH at least gw kgk nangis sendirian di halte dah,negatif
585,1A Padet. tapi kayanya dari pihak  belum ada niatan tambah armada ya min ? minimal dijam sibuk lebih cepet lgi datengnya.,negatif
586,Tolong lah kalau sekiranya manusia nya sudah banyak didalem busway suhu AC nya tolong dibesarkan. Sumpek jadinya ini AC tidak berasa sama sekali. Teruntuk busway rute 13,negatif
587,Woi  Nungguin 1B/1F di JCC ga dateng-dateng ternyata banyak banget di Palmerah sampai antri-antri gini. Bgst...,negatif
588,Gw menyarankan teman-teman sementara cari alternatif jika ingin menggunakan tranportasi umum transjakarta dengan kartu debit (tapcash/emoney/flazz/brizzi) .. karena saldo akan dipotong pada saat tap in dan tap out di gate Gw komplain dari bulan lalu ga ada TL,negatif
589,Peta Jalur Rute Transjakarta Semua Koridor Lengkap -,netral
590,Seneng banget udah ada Jak48A rute Karet-Tebet nyambung dari MRT Benhil ke kantor Rp 0 deh yayy. Thanks,positif
591,ACP Aluontop banyak digunakan untuk exterior proyek halte Transjakarta di Indonesia.,netral
592,Udah halte segede upil panas sumpek sekarang ngantri masuk dari jembatan penyebrangan. Koridor 9 emang dabest,negatif
593,Terima kasih atas laporan Anda. Laporan Anda sudah di proses dengan nomor TW230330AUQ7,netral
594,gue di transjakarta kalo dapet posisi nyender ke pintu,netral
595,Ketika koneksi langsung MRT Jakarta dan Transjakarta Koridor 1/3 di Bundaran HI belum juga dibuka hingga saat ini. Pic:  (Discord),netral
596,Pantau laporan melalui laman  Anda juga dapat melaporkan melalui Aplikasi JAKI.,netral
597,Inilah Keluhan Warga Soal Tarif Integrasi Transportasi Umum di Jakarta Simak artikel ini untuk lebih lanjut!,negatif
598,kedinginan di transjakarta,negatif
599,Kabar baik warga Jakarta dan penyangga Ibu Kota. 4 halte Transjakarta yang terintegrasi dengan stasiun LRT Jabodebek resmi dibuka untuk umum. Empat halte tersebut yakni Halte BNN Cawang Halte Depkes Halte GOR Soemantri dan Halte Setiabudi Kuningan.,positif
600,Fix yang masukin Jakarta ke daftar ini cuma pernah naik TransJakarta dari Halte Imigrasi Mampang ke Halte Pasar Festival. Udah. Kalo pernah naik TJ rute lain nggak bakal masukin Jakarta ke Top 100,negatif
601,Min  dari halte kebayoran lama ke velbak bayar lagi atau nggak?,netrak
602,cepet dong min b11 nya udah rame di pancoran,netral
603,min b11 di pancoran lama bgt,negatif
604,Halo  kenapa rute 8 Pasar Baru - Lb. Bulus via Tomang ga ngelewatin RS Tarakan ya? Padahal dari staf nya udah diarahin naik itu tp ternyata dilewatin,netral
605,transjakarta lagi akting fast &amp; furious kah anjim,negatif
606,Ini arah HI gada lagi yg lewat?? Udah setengah jam nunggu,negatif
607,417 Bus Transjakarta yang Terbengkalai Dilelang   .,netral
608,Saran  Klu ada laporan yg macam-macam terhadap Pramudi supaya jangan asal main tindakan aja mau itu laporan penumpang atau pengendara. Pramudi tersebut juga tidak pengen terjadi apa-apa di jalur. Pramudi tersebut gk mau gajinya di potong.,negatif
609,min kalo dri halte cawang uki ke halte smk 57 naik koridor mana yaa,netral
610,Min boleh dibantu rute transjakarta dari halte grogol 1 ke tujuan halte senen,netral
611,Kenapa busway 5E sudah tidak beroperasi sih?  saya jadi transit 2 halte panjang banget jalurnya,negatif
612,Adminnn info dong kalo dari puribeta ke pasar tanah abang naik apa aja? Dan dari puribeta ke mall kasablanka naik rute apa aja ya?,netral
613,Astaghfirullah ini transjakarta sm krl punya masalah apasi skrg lama banget mau nangis,negatif
614,Bersyukur dan berterima kasih kepada  versi 24jam. Dan lebih salut untuk semua personil  yg ada di koridor-koridor 24jam. Sehat selalu,positif
615,Hi admin  mau tanya kalau penggunaan tiket pada aplikasi tije apakah berlaku hanya pada halte khusus Transjakarta saja atau dapat juga digunakan jika melalui halte bus biasa?,netral
616,emang cowok yang love languagenya pas ngena dihati selain member seventeen itu mas-mas kondektur transjakarta,positif
617,Min  1B arah tosari ada kah? Posisi di shelter jcc,netral
618,Ngeliat mbak-mbak buka laptop kerja di transjakarta rasanya pengen semangatin :'),positif
619,Commuting with transjakarta for the first time and pusing bgt petanya bangsat ini gmn si ada kursusnya ga,negatif
